name,category,price,rating,description
Educational Book,Books,49069.56,3.5,Books
Jeans,Clothing,12755.85,3.9,Clothing
Face Cream,Beauty,11092.19,4.4,Beauty
Smartwatch,Electronics,32657.81,3.2,Electronics
Cookware Set,Home & Kitchen,26590.08,3.1,Home & Kitchen
Mixer Grinder,Home & Kitchen,10475.03,1.7,Home & Kitchen
Sneakers,Clothing,38647.72,2.0,Clothing
Table Lamp,Home & Kitchen,24818.59,2.4,Home & Kitchen
Jacket,Clothing,1987.39,2.6,Clothing
Tablet,Electronics,26876.51,4.0,Electronics
Perfume,Beauty,46409.57,2.3,Beauty
Lipstick,Beauty,48780.78,1.3,Beauty
Educational Book,Books,6670.82,1.2,Books
Smartphone,Electronics,10826.05,3.7,Electronics
Comic Book,Books,6839.1,1.6,Books
Mixer Grinder,Home & Kitchen,18197.89,1.6,Home & Kitchen
Cookbook,Books,20817.46,2.3,Books
Perfume,Beauty,44061.25,2.5,Beauty
Cookbook,Books,4398.59,4.0,Books
T-Shirt,Clothing,32565.77,4.4,Clothing
Cookware Set,Home & Kitchen,47529.36,4.5,Home & Kitchen
Jeans,Clothing,37129.73,4.3,Clothing
Educational Book,Books,48258.19,1.6,Books
Bedsheet,Home & Kitchen,32505.96,2.8,Home & Kitchen
Cookware Set,Home & Kitchen,4165.64,1.1,Home & Kitchen
T-Shirt,Clothing,2053.11,3.4,Clothing
Jeans,Clothing,38927.62,2.5,Clothing
Mixer Grinder,Home & Kitchen,28978.47,2.3,Home & Kitchen
Lipstick,Beauty,21293.42,2.2,Beauty
Lipstick,Beauty,49097.01,3.7,Beauty
Perfume,Beauty,47651.19,3.6,Beauty
Hair Dryer,Beauty,15046.01,1.1,Beauty
Laptop,Electronics,36980.1,3.2,Electronics
Table Lamp,Home & Kitchen,38144.67,3.1,Home & Kitchen
Laptop,Electronics,49355.45,3.5,Electronics
Shampoo,Beauty,12945.96,1.4,Beauty
Perfume,Beauty,34927.79,1.1,Beauty
Table Lamp,Home & Kitchen,3677.4,3.7,Home & Kitchen
Comic Book,Books,37004.54,4.0,Books
Cookbook,Books,27961.78,4.0,Books
Comic Book,Books,2655.8,3.7,Books
Headphones,Electronics,965.51,3.5,Electronics
Bedsheet,Home & Kitchen,2980.08,4.2,Home & Kitchen
Mixer Grinder,Home & Kitchen,8598.58,1.1,Home & Kitchen
Shampoo,Beauty,31850.15,2.8,Beauty
Smartwatch,Electronics,33443.32,2.4,Electronics
Jacket,Clothing,29592.5,4.7,Clothing
Hair Dryer,Beauty,11187.38,2.3,Beauty
Bedsheet,Home & Kitchen,23898.58,3.3,Home & Kitchen
Comic Book,Books,1391.49,4.5,Books
Jeans,Clothing,18607.69,2.4,Clothing
Fiction Novel,Books,46224.88,4.1,Books
Tablet,Electronics,11864.13,1.3,Electronics
Comic Book,Books,7757.2,2.2,Books
Smartwatch,Electronics,29745.0,3.6,Electronics
Jeans,Clothing,39176.54,4.1,Clothing
Jeans,Clothing,18075.19,1.7,Clothing
Self-Help Book,Books,18830.59,3.6,Books
Headphones,Electronics,38476.48,2.0,Electronics
Laptop,Electronics,27120.36,3.8,Electronics
Cookbook,Books,31627.0,3.1,Books
Comic Book,Books,14505.79,3.9,Books
Smartwatch,Electronics,15229.67,2.7,Electronics
Table Lamp,Home & Kitchen,2158.12,3.4,Home & Kitchen
Lipstick,Beauty,11106.19,1.1,Beauty
Educational Book,Books,21690.55,1.9,Books
Hair Dryer,Beauty,4225.69,2.5,Beauty
Smartwatch,Electronics,23621.02,4.7,Electronics
Educational Book,Books,38937.92,3.4,Books
Cookware Set,Home & Kitchen,2707.97,1.2,Home & Kitchen
Face Cream,Beauty,23715.42,2.0,Beauty
Tablet,Electronics,9083.5,1.8,Electronics
Lipstick,Beauty,26379.35,3.0,Beauty
Jacket,Clothing,34023.96,4.6,Clothing
Sneakers,Clothing,1542.1,1.0,Clothing
Fiction Novel,Books,42981.08,3.8,Books
Sofa Cover,Home & Kitchen,46338.29,3.4,Home & Kitchen
Headphones,Electronics,34161.44,2.4,Electronics
Lipstick,Beauty,21317.31,4.0,Beauty
Face Cream,Beauty,46011.84,3.3,Beauty
Perfume,Beauty,2097.99,3.2,Beauty
Smartphone,Electronics,17104.91,2.7,Electronics
Sofa Cover,Home & Kitchen,29326.6,4.9,Home & Kitchen
Headphones,Electronics,28892.73,1.3,Electronics
Tablet,Electronics,35033.12,4.7,Electronics
Jeans,Clothing,40069.3,2.4,Clothing
Comic Book,Books,20613.14,3.4,Books
Cookware Set,Home & Kitchen,3432.0,3.4,Home & Kitchen
Shampoo,Beauty,25752.65,2.5,Beauty
Smartwatch,Electronics,30238.47,4.0,Electronics
Bedsheet,Home & Kitchen,34293.38,4.4,Home & Kitchen
Perfume,Beauty,19498.32,3.6,Beauty
T-Shirt,Clothing,39355.59,2.9,Clothing
Cookbook,Books,26575.86,2.0,Books
Headphones,Electronics,12506.31,1.4,Electronics
T-Shirt,Clothing,19180.77,3.9,Clothing
Bedsheet,Home & Kitchen,8877.51,2.5,Home & Kitchen
Sneakers,Clothing,32348.92,3.1,Clothing
Smartwatch,Electronics,19375.76,2.1,Electronics
Educational Book,Books,48157.93,2.4,Books
Laptop,Electronics,4360.05,3.3,Electronics
Jacket,Clothing,38093.14,3.0,Clothing
Educational Book,Books,32788.2,4.0,Books
Comic Book,Books,42715.55,4.4,Books
Perfume,Beauty,28758.42,3.7,Beauty
Educational Book,Books,22555.21,4.3,Books
Dress,Clothing,33613.18,3.5,Clothing
T-Shirt,Clothing,44639.0,1.1,Clothing
Jeans,Clothing,11785.4,1.6,Clothing
Self-Help Book,Books,30826.72,3.9,Books
Jacket,Clothing,35811.1,1.9,Clothing
Shampoo,Beauty,45387.99,4.8,Beauty
Sofa Cover,Home & Kitchen,39263.94,3.8,Home & Kitchen
Educational Book,Books,19787.61,3.9,Books
Jacket,Clothing,26219.99,2.1,Clothing
Lipstick,Beauty,14286.02,3.7,Beauty
T-Shirt,Clothing,13019.07,2.8,Clothing
Face Cream,Beauty,43488.42,3.0,Beauty
Cookbook,Books,30903.49,1.7,Books
Table Lamp,Home & Kitchen,37405.46,1.3,Home & Kitchen
Tablet,Electronics,30593.67,1.5,Electronics
Headphones,Electronics,28688.25,2.4,Electronics
Hair Dryer,Beauty,12158.96,1.1,Beauty
Headphones,Electronics,24500.05,4.4,Electronics
Table Lamp,Home & Kitchen,44412.88,1.4,Home & Kitchen
Smartphone,Electronics,26615.97,3.6,Electronics
Jacket,Clothing,3979.4,4.6,Clothing
Perfume,Beauty,49687.49,2.5,Beauty
Laptop,Electronics,11289.42,2.3,Electronics
Dress,Clothing,27309.73,4.0,Clothing
Laptop,Electronics,30374.4,1.8,Electronics
Shampoo,Beauty,15486.41,5.0,Beauty
Smartwatch,Electronics,33698.34,4.2,Electronics
Dress,Clothing,42987.64,3.7,Clothing
Smartwatch,Electronics,1104.25,3.8,Electronics
Jacket,Clothing,14043.16,3.1,Clothing
Cookbook,Books,24032.88,3.8,Books
Face Cream,Beauty,32283.58,4.4,Beauty
Lipstick,Beauty,3848.54,4.6,Beauty
Cookware Set,Home & Kitchen,48175.48,1.5,Home & Kitchen
Tablet,Electronics,2273.01,4.3,Electronics
Jacket,Clothing,48346.41,1.4,Clothing
Table Lamp,Home & Kitchen,8383.86,3.1,Home & Kitchen
Shampoo,Beauty,15344.02,4.0,Beauty
Smartphone,Electronics,49142.57,4.9,Electronics
Self-Help Book,Books,45182.27,3.1,Books
Jacket,Clothing,18309.06,1.9,Clothing
Smartwatch,Electronics,33021.1,4.4,Electronics
Jacket,Clothing,42814.17,4.2,Clothing
Perfume,Beauty,5293.87,2.7,Beauty
Fiction Novel,Books,16596.58,2.1,Books
Sneakers,Clothing,48940.95,1.0,Clothing
Jeans,Clothing,10059.45,4.3,Clothing
Perfume,Beauty,4820.8,4.3,Beauty
Cookbook,Books,12087.35,2.6,Books
Face Cream,Beauty,43522.08,4.8,Beauty
Smartwatch,Electronics,42409.26,2.0,Electronics
Fiction Novel,Books,29882.47,4.7,Books
Smartwatch,Electronics,40233.28,1.9,Electronics
Sofa Cover,Home & Kitchen,15357.36,1.6,Home & Kitchen
Self-Help Book,Books,10565.57,1.5,Books
Fiction Novel,Books,42533.26,4.6,Books
Mixer Grinder,Home & Kitchen,18426.9,4.7,Home & Kitchen
Perfume,Beauty,23369.23,1.5,Beauty
Perfume,Beauty,2735.32,2.6,Beauty
Laptop,Electronics,48944.01,4.2,Electronics
Hair Dryer,Beauty,32590.46,2.4,Beauty
Hair Dryer,Beauty,35286.97,3.3,Beauty
Fiction Novel,Books,42881.03,4.4,Books
Shampoo,Beauty,28246.25,2.3,Beauty
Shampoo,Beauty,24619.84,4.1,Beauty
Dress,Clothing,12083.96,3.0,Clothing
Self-Help Book,Books,12214.72,2.1,Books
Fiction Novel,Books,19386.27,4.1,Books
Educational Book,Books,34879.4,2.5,Books
Laptop,Electronics,32016.11,4.3,Electronics
T-Shirt,Clothing,32264.17,4.1,Clothing
Shampoo,Beauty,30171.74,3.8,Beauty
Dress,Clothing,22712.18,3.9,Clothing
Comic Book,Books,27204.69,2.8,Books
Educational Book,Books,17353.47,2.6,Books
Sofa Cover,Home & Kitchen,44882.2,1.3,Home & Kitchen
Sofa Cover,Home & Kitchen,47002.72,4.1,Home & Kitchen
Lipstick,Beauty,33659.67,3.3,Beauty
Sofa Cover,Home & Kitchen,13011.44,4.9,Home & Kitchen
Smartphone,Electronics,21990.25,4.2,Electronics
Perfume,Beauty,1927.38,2.9,Beauty
Laptop,Electronics,21741.53,3.5,Electronics
Sneakers,Clothing,23638.72,1.5,Clothing
Hair Dryer,Beauty,39372.11,4.1,Beauty
Fiction Novel,Books,49088.13,2.3,Books
